,Title,Authors,Years
981,Children's Book: The Adventure of Froblicious the Frog (Rhyming Picture Book for Ages 2-6) (Let's Learn While Playing),Kelly Santana-Banks,-1
982,"The Mystery in the Mall (The Boxcar Children, #72)",Gertrude Chandler Warner,1999
983,The Velveteen Principles: A Guide to Becoming Real; Hidden Wisdom from a Children's Classic,Toni Raiten-D'Antonio,2004
984,"Children of Nazis: The Sons and Daughters of Himmler, Göring, Höss, Mengele, and Others— Living with a Father’s Monstrous Legacy",Tania Crasnianski,2016
985,"How to Behave So Your Children Will, Too!",Sal Severe,1997
986,"The Cereal Box Mystery (The Boxcar Children, #65)",Gertrude Chandler Warner,1998
987,"1,001 Boredom Busting Play Ideas: Free and Low Cost Crafts, Activities, Games and Family Fun That Will Help You Raise Happy, Healthy Children",Jean Oram,2015
988,A Joyful Mother of Children: The Magic and Mayhem of Motherhood,Linda Eyre,1983
989,"The Mystery at Peacock Hall (The Boxcar Children, #63)",Gertrude Chandler Warner,1998
990,The Children's Hour,Marcia Willett,2003
991,"The Summer Camp Mystery (The Boxcar Children, #82)",Gertrude Chandler Warner,2001
992,"Engaging Autism: Helping Children Relate, Communicate and Think with the DIR Floortime Approach (A Merloyd Lawrence Book)",Stanley I. Greenspan,2006
993,Children On Their Birthdays,Truman Capote,1976
994,Great Stories for Children,Ruskin Bond,2011
995,Done With The Crying: Help and Healing for Mothers of Estranged Adult Children,Sheri McGregor,-1
996,"Good Night, Good Night: A Going to Sleep Picture Book - A Rhyming Bedtime Story, Early/Beginner Readers, Children's book, Picture Book, kids book collection, Funny humor ebook, Education",Helen H. Wu,2014
997,The Power of Our Words: Teacher Language That Helps Children Learn,Paula Denton,2007
998,"Tooty the Tiger: Short Stories, Coloring Book, and Jokes!",Uncle Amon,2015
999,I Remember Nothing More: The Warsaw Children's Hospital and the Jewish Resistance,Adina Blady Szwajger,1992
1000,The Children’s House,Alice Nelson,-1
1001,"The Gymnastics Mystery (The Boxcar Children, #73)",Gertrude Chandler Warner,1999
1002,"The Summer Camp Mystery (The Boxcar Children, #82)",Gertrude Chandler Warner,2001
1003,"Dumbing Down Our Kids: Why American Children Feel Good About Themselves But Can't Read, Write or Add",Charles J. Sykes,1995
1004,Great Stories for Children,Ruskin Bond,2011
1005,Done With The Crying: Help and Healing for Mothers of Estranged Adult Children,Sheri McGregor,-1
1006,What Your Doctor May Not Tell You About Children's Vaccinations,Stephanie Cave,2001
1007,"Children of the Sea, Volume 3 (Children of the Sea, #3)",Daisuke Igarashi,2007
1008,"Knight of the Flame (Children of the Old War, #1)",H. John Spriggs,2014
1009,A Circle of Children,Mary MacCracken,1974
1010,After the Battle on Starship Hill: Prologue to The Children of the Sky,Vernor Vinge,2011
1011,Children of the Blessing (The Lemurian Chronicles #1),Perry Morris,2015
1012,"Barkus: Book 1 (Children's Books about Dogs, Picture Books for Dog Lovers)",Patricia MacLachlan,2017
1013,The Children of Lir (Ireland's Best Known Stories in a Nutshell Book 1),Ann Carroll,2012
1014,"From the Mouth of Elijah (Children of the Bard, #2)",Bryan Davis,2012
1015,Homeschooling Our Children Unschooling Ourselves,Alison McKee,2002
1016,The Hundred Languages of Children: The Reggio Emilia Approach Advanced Reflections,Carolyn Edwards,1993
1017,"The Blackgod (Children of the Changeling, #2)",Greg Keyes,1997
1018,"Evolution (Children of the After, #3)",Jeremy Laszlo,2014
1019,Children of God Go Bowling,Shannon Olson,2004
1020,Molave and the Orchid and Other Children's Stories,F. Sionil José,2004
1021,Sleep My Darlings: The True Story of a Mother Who Killed Her Children in Cold Blood,Diane Fanning,2013
1022,"Children of Hope (Seafort Saga, #7)",David Feintuch,2001
1023,The Einstein Syndrome: Bright Children Who Talk Late,Thomas Sowell,1963
1024,"The Mystery in the Old Attic (The Boxcar Children Special, #9)",Gertrude Chandler Warner,1997
1025,"Celtic Tales, Told to the Children",Louey Chisholm,1910
1026,"The Movie Star Mystery (The Boxcar Children, #69)",Gertrude Chandler Warner,1948
1027,"Into Darkness (Children of D'Hara, #5)",Terry Goodkind,2020
1028,Ecological Literacy: Educating Our Children for a Sustainable World,Michael K. Stone,1991
1029,The Enneagram of Parenting: The 9 Types of Children and How to Raise Them Successfully,Elizabeth Wagele,1997
1030,"The Awakened Family: How to Raise Empowered, Resilient, and Conscious Children",Shefali Tsabary,-1
1031,Discovering Great Artists: Hands-On Art for Children in the Styles of the Great Masters,MaryAnn F. Kohl,1997
1032,"Deep Nutrition: How Traditional Foods Unlock Your Genetic Potential to Lose Weight, Sharpen Your Mind, Improve Energy, Look and Feel Younger, and Ensure the Health of Your Children",Catherine Shanahan,2008
1033,"No More Christian Nice Guy: When Being Nice--Instead of Good--Hurts Men, Women and Children",Paul Coughlin,2005
1034,Adult Children: The Secrets of Dysfunctional Families,John C. Friel,1988
1035,The Fate (Children of Wisdom #1),Stephanie Erickson,2015
1036,The Castoff Children,L.M. Browning,-1
1037,"The Road to Rebirth (The Children of Telm, #2)",Dean F. Wilson,2014
1038,Walking on Eggshells: Navigating the Delicate Relationship Between Adult Children and Parents,Jane Isay,2007
1039,"The Great Bicycle Race Mystery (The Boxcar Children, #76)",Gertrude Chandler Warner,2000
1040,The Fate (Children of Wisdom #1),Stephanie Erickson,2015
1041,Children's stories with a moral by Sergey Nikolov,Sergey Nikolov,2014
1042,"The Great Bicycle Race Mystery (The Boxcar Children, #76)",Gertrude Chandler Warner,2000
1043,"The Secret of Happy Children: Why Children Behave the Way They Do--and What You Can Do to Help Them to Be Optimistic, Loving, Capable, and Happy",Steve Biddulph,1985
1044,Walking on Eggshells: Navigating the Delicate Relationship Between Adult Children and Parents,Jane Isay,2007
1045,Six Plays: The Children's Hour / Days to Come / The Little Foxes / Watch on the Rhine / Another Part of the Forest / The Autumn Garden,Lillian Hellman,1934
1046,"Sweet Sleep (Children of Ankh, #1 )",Kim Cormack,2014
1047,The Myth of the Spoiled Child: Challenging the Conventional Wisdom About Children and Parenting,Alfie Kohn,2014
1048,"Wonder Woman, Volume 6: Children of the Gods",James Robinson,2018
1049,Neptune's Children,Bonnie Dobkin,2008
1050,"The Mystery of the Midnight Dog (The Boxcar Children, #81)",Gertrude Chandler Warner,2001
1051,What Do You Buy the Children of the Terrorist Who Tried to Kill Your Wife?: A Memoir,David Harris-Gershon,2013
1052,Psychic Children: Revealing the Intuitive Gifts and Hidden Abilities of Boys and Girls,Sylvia Browne,2007
1053,The Most Important Year: Pre-Kindergarten and the Future of Our Children,Suzanne Bouffard,-1
1054,"Midnight Falls (Children of the Goddess, #4)",R.G. Alexander,2009
1055,Why Knowledge Matters: Rescuing Our Children from Failed Educational Theories,E.D. Hirsch,-1
1056,Four Fantastic Bedtime Stories for Children 3-6,Scott  Gordon,2012
1057,36 Children,Herbert R. Kohl,1968
1058,5 Minute Bedtime Stories for Children Vol.2 (Classic Fairy Tales & Bedtime Stories Collections for kids ages 6-12),Beatrice Wood,2015
1059,"New Treasure Seekers (Bastable Children, #3)",E. Nesbit,1904
1060,36 Children,Herbert R. Kohl,1968
1061,"New Treasure Seekers (Bastable Children, #3)",E. Nesbit,1904
1062,St. Blair: Children of the Night,Emily W. Skinner,2013
1063,Children of the Earth (End Times #2),Anna Schumacher,2015
1064,"The Pilgrim Village Mystery (The Boxcar Children Special, #5)",Gertrude Chandler Warner,1995
1065,"The Midnight Mystery (The Boxcar Children, #95)",Gertrude Chandler Warner,2003
1066,The Best of Laugh Yourself Silly Jokes for Kids Sampler: Children's Juvenile Humor Ages 6-14 Riddles Knock-Knock Jokes,H.A. Riddle,-1
1067,Children of the Country,Abigail R. Shaffer,-1
1068,The Care and Feeding of Indigo Children,Doreen Virtue,2001
1069,RJ - Boy Detective #1: The Mysterious Crate (a fun short story mystery for children ages 9-12),P.J. Ryan,2013
1070,Children of the Salt Road,Lydia Fazio Theys,-1
1071,"The Children of the Red King, Books 1-5: Midnight for Charlie Bone, Charlie Bone and the Time Twister, Charlie Bone and the Invisible Boy, Charlie Bone and the Castle of Mirrors, and Charlie Bone and the Hidden King",Jenny Nimmo,2006
1072,"The Tattletale Mystery (The Boxcar Children, #92)",Gertrude Chandler Warner,2003
1073,Illustrating Children's Books: Creating Pictures for Publication,Martin Salisbury,2004
1074,Socialized to Rebel: Changing the Course of America's Children and Youth,Christina Christian,-1
1075,Children on the Oregon Trail,An Rutgers van der Loeff,1954
1076,The Heart of Anger: Practical Help for Prevention and Cure of Anger in Children,Lou Priolo,1998
1077,The Wolf and the Raven (Wodan's Children #1),Diana L. Paxson,1993
1078,"Growing Up Mindful: Essential Practices to Help Children, Teens, and Families Find Balance, Calm, and Resilience",Christopher   Willard,2016
1079,Bringing Metal to the Children: The Complete Berserker's Guide to World Tour Domination,Zakk Wylde,2011
1080,"Parenting, Inc.: How the Billion-Dollar Baby Business Has Changed the Way We Raise Our Children",Pamela Paul,2008
1081,Dear Pope Francis: The Pope Answers Letters from Children Around the World,Pope Francis,2016
1082,"The Honeybee That Learned to Dance: A Children's Nature Picture Book, a Fun Honeybee Story That Kids Will Love;",Sharon  Clark,-1
1083,Celebrating the Great Mother: A Handbook of Earth-Honoring Activities for Parents and Children,Cait Johnson,1995
1084,It Takes Two to Talk: A Practical Guide for Parents of Children With Language Delays,Jan Pepper,2004
1085,Children of the Salt Road,Lydia Fazio Theys,-1
1086,"The Mystery in the Computer Game (The Boxcar Children, #78)",Gertrude Chandler Warner,2000
1087,Wednesday's Children: The Memoirs of a Nurse-Turned-Social-Worker in Rural Appalachia,Kathryn Anne Michaels,-1
1088,"The Mystery of the Star Ruby (The Boxcar Children, #89)",Gertrude Chandler Warner,2002
1089,Welding with Children,Tim Gautreaux,1999
1090,So Many Children,Anne Baker,2002
1091,"Buzz the Bumblebee: Stories, Games, Jokes, and More!",Uncle Amon,2015
1092,"The Children Of The Gods; Mega Boxset 1 (The Children Of The Gods, #1 To #6)",I.T. Lucas,-1
1093,An Echo of Earth (Children of Earthrise Book 3),Daniel Arenson,-1
1094,"Aflausn (Children's House, #3)",Yrsa Sigurðardóttir,2016
1095,Children Learn What They Live,Dorothy Law Nolte,1998
1096,"The Mystery of the Lake Monster (The Boxcar Children, #62)",Gertrude Chandler Warner,1998
1097,"The Mystery at the Crooked House (The Boxcar Children, #79)",Gertrude Chandler Warner,2000
1098,The Mystery in Washington D.C. (Boxcar Children Mystery & Activities Specials #2),Gertrude Chandler Warner,1994
1099,Children of Lovecraft,Ellen Datlow,2016
1100,The Good Children,Roopa Farooki,2014
1101,All God's Children and Blue Suede Shoes: Christians and Popular Culture,Kenneth A. Myers,1989
1102,Children are Diamonds,Edward Hoagland,2013
1103,"Demon Bait (Children of the Undying, #0.5)",Moira Rogers,2011
1104,Teaching Your Children Joy,Linda Eyre,1980
1105,Children of No One,Nicole Cushing,2013
1106,"The Saeshell Book of Time, Part 1: The Death of Innocents (Children of Sophista, #1)",Rusty A. Biesele,2012
1107,"Easter Bunny: Stories, Jokes, Games, and More!",Uncle Amon,2015
1108,An Echo of Earth (Children of Earthrise Book 3),Daniel Arenson,-1
1109,The Court of the Stone Children,Eleanor Cameron,1973
1110,"Feeding the Whole Family: Whole Foods Recipes for Babies, Young Children, and Their Parents",Cynthia Lair,1994
1111,Are We There Yet? 36 Eye-Rolling Flowcharts from the Wonderfully Weird Brains of Children,David Vienna,-1
1112,"I'm Chocolate, You're Vanilla: Raising Healthy Black and Biracial Children in a Race-Conscious World",Marguerite A. Wright,1998
1113,"Naturally Healthy Babies and Children: A Commonsense Guide to Herbal Remedies, Nutrition, and Health",Aviva Romm,1996
1114,Little Victim: Britain's Vulnerable Children and the Cops Who Rescue Them,Harry Keeble,2011
1115,"The Mystery of the Empty Safe (The Boxcar Children, #75)",Gertrude Chandler Warner,2000
1116,Planets And Moons In Our Universe: Children's Books and Bedtime Stories For Kids Ages 3-8 for Fun Life Lessons (Books For Kids Series),Speedy Publishing,2014
1117,"The Ice Cream Mystery (The Boxcar Children, #94)",Gertrude Chandler Warner,2003
1118,All Good Children,Dayna Ingram,-1
1119,The Family Virtues Guide: Simple Ways to Bring Out the Best in Our Children and Ourselves,Linda Kavelin Popov,1997
1120,"The Stuffed Bear Mystery (The Boxcar Children, #90)",Gertrude Chandler Warner,2002
1121,Equinox (Children of Occam #2),Christian Cantrell,2015
1122,All God's Children and Blue Suede Shoes: Christians and Popular Culture,Kenneth A. Myers,1989
1123,Ghost Children,Sue Townsend,1997
1124,"The Saeshell Book of Time, Part 1: The Death of Innocents (Children of Sophista, #1)",Rusty A. Biesele,2012
1125,The Satin Man: Uncovering the mystery of the missing Beaumont children,Alan Whiticker,2013
1126,Lying to Children,Alex Shahla,-1
1127,The Family Virtues Guide: Simple Ways to Bring Out the Best in Our Children and Ourselves,Linda Kavelin Popov,1997
1128,Escape from Children's Hospital,Jonathan Safran Foer,2014
1129,"I'm Chocolate, You're Vanilla: Raising Healthy Black and Biracial Children in a Race-Conscious World",Marguerite A. Wright,1998
1130,Children of War,Deborah Ellis,2009
1131,The Children of Manor House,R.A. Douthitt,2016
1132,"Libba: The Magnificent Musical Life of Elizabeth Cotten (Early Elementary Story Books, Children's Music Books, Biography Books for Kids)",Laura Veirs,2018
1133,The Importance of Being Little: What Young Children Really Need from Grownups,Erika Christakis,2016
1134,How to Write a Children's Book,Katie Davis,-1
1135,Silly Riddles for Silly Kids: Children's Riddle Book Ages 5-12,Silly Willy,2015
1136,"The Black Pearl Mystery (The Boxcar Children, #64)",Gertrude Chandler Warner,1998
1137,"The New Social Story Book: Over 150 Social Stories that Teach Everyday Social Skills to Children with Autism or Asperger's Syndrome, and Their Peers",Carol Gray,1997
1138,White Wild Indigo: An Illustrated Collection of Poems for Children,Jet Widick,-1
1139,Books For Kids: Little Cats Eww And Yuck: Stinky Kittens (Little Cats Eww And Yuck - Children's Books Book 2),Ekaterina Chernova,-1
1140,Freedom's Children: Young Civil Rights Activists Tell Their Own Stories,Ellen Levine,1993
1141,"Mindful Games: Sharing Mindfulness and Meditation with Children, Teens, and Families",Susan Kaiser Greenland,-1
1142,Three Wishes: Palestinian and Israeli Children Speak,Deborah Ellis,2004
1143,The Mystery of the Mummy's Curse (The Boxcar Children #88),Gertrude Chandler Warner,2002
1144,Stupid Children,Lenore Zion,2013
1145,"Angel of Death:  A Love Story (Children of the Fallen, #1)",Anna Erishkigal,2013
1146,Gospills: A Daily Dose of God's Medicine for His Children,Jeff         Johnson,-1
