,Title,Authors,Year
997,Understanding children's work in Zambia,Understanding Children's Work (Project),2009
998,Speaking out,Save the Children (Mozambique),2007
999,My first hidden pictures,"Highlights for Children, Inc",2008
1000,The archaeology of semiotics and the social order of things,"George Nash,
        George Children",2008
1001,That's silly!,"Highlights for Children, Inc",2008
1002,Building quality child care together,Alberta. Alberta Children's Services,2007
1003,Handbook for aboriginal mentoring,Alberta. Alberta Children's Services,2007
1004,Certification guide for child care staff,Alberta. Alberta Children's Services,2007
1005,Military help to Korean orphanages,Christian Children's Fund,1954
1006,"Today's children, tomorrow's hope",todays  children tomorrows despair,1944
1007,What is empowerment?,Alberta. Alberta Children's Services,2003
1008,"One Year Book of Family Devotions, Vol. 1",Children's Bible Hour,2000
1009,My First Library,Reader's Digest Children's Books,1996
1010,Apple For Pinto (Nodding Tales),Reader's Digest Children's Books,2002
1011,Chloe'S Big Surprise (Nodding Tales),Reader's Digest Children's Books,2002
1012,Beautiful Brides Barbie,Reader's Digest Children's Books,2001
1013,"Report of the Nebraska Children's code commission, 1920",Nebraska. Children's code commission.,1921
1014,Let's Look at Mix and Match (Let's Look At...(Lorenz Board Books)),Lorenz Children's Books,1999
1015,Welcome to Tickety Town,"Holmes, Anna (Children's author)",2013
1016,A complete revision of the laws for the welfare of Missouri children,Missouri. Children's code commission,1918
1017,El niño de 1 a 6 años,United States. Children's Bureau,1966
1018,Big bird is yellow,Children's Television Workshop,1990
1019,Ang Kalakalang galeon,Children's Communication Center (Philippines),1981
1020,Na zhi shen lan se de niao shi wo ba ba,"Wei, Jie (Children's author)",2011
1021,"Oink, moo, meow",Sterling Children's Books,2012
1022,First words =,Sterling Children's Books,2012
1023,"McGraw-Hill Spectrum Geography, Grade 4",McGraw-Hill Children's Publishing,1998
1024,Fierce and True,Children's Theatre Company,2010
1025,Illustrators Annual 2016,Bologna Children's Book Fair,2016
1026,Let's Make Games!,Inc. Highlights for Children,1993
1027,Annual report and statement of accounts of the Luton Children's Hospital,Luton Children's Hospital,1945
1028,Studies of use of milk by families having little children ...,United States. Children's Bureau,1918
1029,It's My Heart,Children's Heart Foundation,2004
1030,Woodland,Hachette Children's Books,2015
1031,Draw It! Colour It! Creatures,MacMillan Children's Books,2015
1032,Letterwriter Starter Kit,Reader's Digest Children's Books,1999
1033,Xiao xiao ke xue ren,"Frith, Alex (Children's author)",2017
1034,Hui jia =,"Wei, Jie (Children's author)",2017
1035,Rabbit moon,"Kim, Jean (Children's author)",2018
1036,My new friend,Sterling Children's Books,2017
1037,Bath time!,Sterling Children's Books,2017
1038,Global Babies,Global Fund for Children,2007
1039,Homes around the world,"Moore, Max children's author.",2009
1040,Baby animals,Sterling Children's Books,2012
1041,Numbers,Sterling Children's Books,2012
1042,First words,Sterling Children's Books,2012
1043,Colors,Sterling Children's Books,2012
1044,Things that go,Sterling Children's Books,2012
1045,Mr. Children 2001-2005,Mr. Children (Musical group),2012
1046,Mr. Children B-side,Mr. Children (Musical group),2007
1047,Mr. Children 2005-2010 <Macro>,Mr. Children (Musical group),2012
1048,The truly brave princesses,"Brown, Dolores (Children's author)",2018
1049,"Thirty-Second Annual Report of the Hawaiian Mission Children's Society: Presented June 14th, 1884, With the Constitution and by-Laws and List of Honorary and Life Members (Classic Reprint)",Hawaiian Mission Children's Society,2017
1050,Words Are Fun/ Diverpalabras,Scholastic Children's Press,2017
1051,Health and welfare services for mothers and children in the Union of soviet socialist republics,United States. Children's Bureau.,1945
1052,Key Change,Children's Theatre Company,2016
1053,How To Be A Good President,Children of America,2017
1054,Princess Easy Pleasy,"Sharma, Natasha (Children's author)",2015
1055,Wo de huan you shi jie da fa xian,"Frith, Alex (Children's author)",2015
1056,"¡En sus marcas, listos, fuera!","Reid, James (Children's author)",2014
1057,Edward el explorador,"Reid, James (Children's author)",2014
1058,La casa dinosaurio,"Reid, James (Children's author)",2014
1059,¿Y tú qué sabes?,"Waters, Mary (Children's author)",2015
1060,11+ Progress Test Pack P2,Children's Educational Material 11+,2016
1061,With love from -.,Save the Children Fund,1980
1062,Childhood deafness,National Deaf Children's Society,1999
1063,The challenge of change,National Children's Bureau.,1972
1064,PATHS,National Deaf Children's Society,1999
1065,National Children's Bureau development guide,National Children's Bureau.,1977
1066,"Timbertoes 1 2 3 Counting Book, The",Highlights for Children,1997
1067,The Newbery and Caldecott Awards,Library Service to Children,2000
1068,My ABC's,Children's Television Workshop,1989
1069,Emmet's awesome day,"Holmes, Anna (Children's author)",2014
1070,Care for the injured child,Hospital for Sick Children,1992
1071,Sleepy kitty,Sterling Children's Books,2015
1072,ABC animals,Sterling Children's Books,2013
1073,Party Ideas With Crafts Kids Can Make,Inc. Highlights for Children,1981
1074,"One Year Book of Family Devotions, Vol. 2",Children's Bible Hour,2000
1075,It Only Takes a Second,Children's Hospital Los Angeles,2000
1076,Global baby girls,Global Fund for Children,2013
1077,The Timbertoes ABC alphabet book,"Highlights for Children, inc",1997
1078,One Hundred Twenty Three Gift Crafts Kids Can Make (Highlights Creative Crafts Series),Inc. Highlights for Children,1993
1079,The Children's Hospital guide to your child's health and development,Boston Children's Hospital,2001
1080,One Year Book of Devotions for Kids #3,Children's Bible Hour,2004
1081,The One Year Book Of Devotions For Kids,Children's Bible Hour,2005
1082,Practical advice for parents,Children's Hospital of Wisconsin,1994
1083,Highlights which way USA?,"Highlights for Children, Inc",1997
1084,The 11th Commandment,Children of America,1996
1085,Your baby's first year,United States. Children's Bureau.,1962
1086,Looking for Alaska,Dutton Children's Books,2005
1087,Children'S,Haider,1999
1088,Children =,Unknown author,1980
1089,Children: Bouquets of hope for their salvation,Ellen Gould Harmon White,1998
1090,Children: why do we have them?,Dora Russell,1933
1091,Macbeth,William Shakespeare,1673
1092,On my way with Sesame Street,"Children's Television Workshop,
        Tony Geiss",1989
1093,Tempest,William Shakespeare,1611
1094,Romeo and Juliet,William Shakespeare,1597
1095,Mr. Boggle's peculiar day,Time-Life for Children (Firm),1992
1096,Little people big book about playtime,Time-Life for Children (Firm),1990
1097,Pterodactyl tunnel,Time-Life for Children (Firm),1992
1098,The family tree,Time-Life for Children (Firm),1990
1099,A Charter for Children's Play,"National Voluntary Council for Children's Play,
        National Children's Bureau.",1992
1100,A Christmas Carol,Charles Dickens,1843
1101,Told Under Spacious Skies,Association for Children Education Institute,-1
1102,An index of documentary films about children,National Children's Bureau. Information Service.,1971
1103,Books for children,Children's Book Council of Victoria.,1966
1104,Australian childrens books,Children's Book Council of Victoria.,1967
1105,CTW research bibliography,Children's Television Workshop. Research Division.,1976
1106,The status of Child protection,American Humane Association. Children's Division,1971
1107,All children are special,Church of England. Children's Council.,1967
1108,Protecting the battered child,American Humane Association. Children's Division.,1962
1109,Critical Issues and Practices in Gifted Education,National Assoc for Gifted Children,2007
1110,Touchstones,Children&S Literature Association Public,1986
1111,The gifted child,American Association for Gifted Children.,1951
1112,Family Assessment Form,Children's Bureau of Southern California,1997
1113,Bibliography on Disabled Children,Canadian Association of Children's Librarians,1981
1114,Directory of Programs for Preparing Individuals for Careers in Special Education,Council for Exceptional Children Staff,1997
1115,Progress and Peril,Black Community Crusaders for Children,1993
1116,Children of Hiroshima,Committee for Children of Hiroshima,1981
1117,Taking Child Abuse Seriously: Contemporary Issues in Child Protection Theory and Practice (The State of Welfare),Violence Against Children Study Group,1990
1118,Do Skyscrapers Touch the Sky?,Time-Life for Children (Firm),1994
1119,Why can't I see the wind?,Time-Life for Children (Firm),1994
1120,Children's Hospital Boston (MA),Archives Program Of Children's Hospital,2005
1121,Ravens' Tale,Children of the Oz School,2001
1122,Invisible children,"Save the Children,
        Integration Alliance",1995
1123,Little people big book about the sea,Time-Life for Children (Firm),1989
1124,Little people big book about animals,Time-Life for Children (Firm),1989
1125,A Picture-perfect world,Time-Life for Children (Firm),1992
1126,The Secret forest,Time-Life for Children (Firm),1991
1127,From head to toe,Time-Life for Children (Firm),1993
1128,Play ball,Time-Life for Children (Firm),1993
1129,The state of America's children,Children's Defense Fund (U.S.),1998
1130,Annual report of the Nottingham Children's Hospital,Nottingham Children's Hospital. nb2014007118,1934
1131,Annual report of the Birkenhead and Wirral Children's Hospital ... and the Kielberg Convalescent Home,Birkenhead and Wirral Children's Hospital,1935
1132,What makes popcorn pop?,Time-Life for Children (Firm),1994
1133,"What to do when ""there's nothing to do""",Boston. Children's Hospital Medical Center.,1968
1134,Robinson Crusoe,Daniel Defoe,1719
1135,Children and Residential Care in Europe,"Nicola Madge,
        European Children's Centre,
        National Children's Bureau.",1994
1136,Practical Remarks Upon the Education of the Working Classes: With an Account ...,"Charles Forss ,
        Children's Friend Society,
        Children's Friend Society",1835
1137,Children's Services Operations Bureau's comprehensive plan for oversight of county child welfare services,California. Children's Services Operations Bureau.,1997
1138,Decade of indifference,Children's Defense Fund (U.S.),1993
1139,Under Fives in Wales,"Margaret Hanney,
        National Children's Bureau.",1991
1140,Speaking out for child protection.,American Humane Association. Children's Division.,1973
1141,Partnership with Parents in Sex Education,"Lorna Scott,
        National Children's Bureau.",1996
1142,Round-the-clock coverage in child protective services.,American Humane Association. Children's Division.,-1
1143,1993 State Legislative Summary,Youth & Families Program Ncsl Children,1993
1144,1996 State Legislative Summary,Ncsl Children and Families Program,1997
1145,1995 State Legislative Summary,Ncsl Children and Families Program,1998
1146,1997 State Legislative Summary,Ncsl Children and Families Program,1997
1147,1992 State Legislative Summary,Ncsl Children and Families Program,1998
1148,1998 State Legislative Summary,Ncsl Children and Families Program,1999
1149,"National Directory of Children, Youth And Families Services 2003-2004, 25th Anniv Ed",Nat'l Directory of Children,2003
1150,Our Kids Shine,Children of Sevierville Primary School,2004
1151,The Children's Book of Miracles,Children of St. Mary School,2000
1152,Innovative approaches in child protective services.,American Humane Association. Children's Division.,-1
1153,Child Development,"Jennie Lindon,
        National Children's Bureau.",1993
1154,Child protective services,American Humane Association. Children's Division.,1967
1155,Directory of resources for the mentally retarded in Florida,Florida Association for Retarded Children.,1968
1156,"An index of documentary films about children, 1977",National Children's Bureau. Information Service.,1977
1157,Highlight series,National Children's Bureau. Information Service.,-1
1158,Sex education,National Children's Bureau. Information Service.,1988
1159,Bibliography,National Society for Autistic Children.,1980
1160,List of schools / units and centres for autistic children / adults,National Society for Autistic Children.,1980
1161,Organisations providing communities and centres for the handicapped,National Society for Autistic Children.,1979
1162,Catholic Action for Street Children--CAS presents the Ghanaian street child,Catholic Action for Street Children.,2003
1163,Deaf and hard of hearing children in Illinois,Illinois. Commission for Handicapped Children.,1947
1164,Children with speech defects,Illinois. Commission for Handicapped Children.,1943
1165,The epileptic child in Illinois,Illinois. Commission for Handicapped Children.,1943
1166,Directory of organisations working with Children in Need in Zambia,Children in Need Network (Zambia),1999
1167,Children's reading: a guide for parents,Children's Book Council of Victoria.,1967
1168,The book list and how to use it,Children's Book Council of Victoria.,1967
1169,Pointers for planning in mental retardation,National Association for Retarded Children.,1964
1170,Health & Safety,Time-Life for Children (Firm),1996
1171,Tania Y Sus Amigos,Time-Life for Children (Firm),1995
1172,Emergency Pilot,Highlights for Children Editorial Staff,1995
1173,My Child Is Not Missing,National Association of Missing Children,1984
1174,Celebrating California,Children's Home Society of California,1997
1175,Adoption Awareness,Children and Youth Research Services,2006
1176,"Sesame Street Get Ready Read - Practice in Pre-Reading Skills (""Get Ready"" Learning Series)",Sesame Street & Children's Television Workshop,1985
1177,"Directory of Programs for Preparing Individuals for Careers in Special Education, 1999",Council for Exceptional Children Staff,1999
1178,My Brother Daniel and Other Stories of Brothers and Sisters,Editors of Highlights for Children,1994
1179,"Coordinators of Children's and Young Adult Services in Public Library Systems Serving at Least 100,000 People",American Library Service to Children,1989
1180,Notebook for Teachers,The Northeast Foundation for Children,2002
1181,Outlaws and Owlhoots in the Old West,Colorado Historical Institute for Children,1988
1182,Services for Under Fives,"Gillian Pugh,
        National Children's Bureau.",1988
1183,Shivers in Your Nightshirt,"Kathy Kaulbach,
        Children's Writers' Workshop",1987
1184,Who Says?,"Ruth Gardner,
        National Children's Bureau.",1987
1185,Termination of parental rights,American Humane Association. Children's Division.,1971
1186,In the interest of children - a century of progress.,American Humane Association. Children's Division.,-1
1187,Developing Parenting Programmes,"Celia Smith,
        National Children's Bureau.",1996
1188,Poverty and Inequality in the UK,"Vinod Kumar,
        National Children's Bureau.",1993
1189,The intercountry adoption service in Victoria,Victorian Family & Children's Services Council.,1991
1190,Centenary of care for children,Queensland. Dept. of Children's Services.,1979
1191,A three year plan for the National Council for Children,Uganda National Council for Children.,1998
1192,Protecting Floridaʼs children,Governorʼs Constituency for Children (Fla.),1987
1193,The story of shriners hospitals,Shriners Hospitals for Crippled Children,1990
1194,A Grave danger to America's twenty million children,"Children of America""s Fund",-1
1195,Thomas Coram Foundation for Children,Thomas Coram Foundation for Children.,1969
1196,Adolescent project,Thomas Coram Foundation for Children.,1984
1197,Preparing young people for independent living,Church of England. Children's Society.,1992
1198,Christingle service,Church of England. Children's Society.,1978
1199,Gypsy education in the West Midlands,Education Service for Travelling Children.,1976
1200,Young people's charter of participation,Church of England. Children's Society.,2002
1201,Handbook of nursing good practice,Sheffield Children's Hospital NHS Trust.,1993
1202,A bright future for our bright children?,National Association for Gifted Children.,1995
1203,Communique,National Association for Gifted Children.,-1
1204,Selected convention papers,Council for Exceptional Children. Convention,1963
1205,Yearbook for 1969/70,Federation of Children's Book Groups.,1969
1206,1955 annotated list of phonograph records,Children's Reading Service. Record Division,1955
1207,"[Minute book, 26th Nov. 1894-May 2nd, 1946]","""Courant"" Fund for Destitute Children.",-1
1208,An appeal,Children's Aid Society of Toronto,1902
1209,A century of turning hope into reality,Children's Home Society of Washington.,1996
1210,For the parents of a mongol child,"Sunfield Children's Homes (Clent, England)",1960
1211,The Centre for the Children's Book,Centre for the Children's Book.,1998
1212,Individual names and addresses of children who submitted paintings/drawings,National Exhibition of Children's Art.,1990
1213,Getting to great for children,Save the Children (U.S.),2007
1214,Children's play in Peterborough,Greater Peterborough Children's Play Council.,1974
1215,Needs assessment of the traveller community in the Southern Health & Social Services Board area,Southern Area Children's Services Planning.,2001
1216,Snakes and ladders '74,Children and Youth Action Group.,1974
1217,Proceedings and book catalog,Children's Books International Boston 1976.,1976
1218,School Liaison Group,Inverness Area Children's Services Forum.,2003
1219,The story of an East London hospital,East London Hospital for Children.,1904
1220,Cadbury's 1980 National Exhibition of Children's Art,National Exhibition of Children's Art,1980
1221,Running away,"Children's Legal Centre (London, England)",1985
1222,Resource directory of special services for children and adolescents,Sudbury Manitoulin Children's Services Committee.,1982
1223,Landmark decision for children's rights,"Children's Legal Centre (London, England)",1985
1224,The story of the Thomas Coram foundation for children,Thomas Coram Foundation For Children.,1979
1225,Local authorities and child care,Association of Children's Officers. Conference,1963
1226,Make waste space play space,Fair Play for Children Campaign.,1977
1227,ZHONGGUO ERTONG WENXUE ZUOJIA CHENGMING ZUO,Anhui Youth and Children's Press,1996
1228,grover stays up very very late,Sesame Street & Children's Television Workshop,2010
1229,The child and the family,Children's Literature Association (International conference),1988
1230,The local association for retarded children,National Association for Retarded Children,1965
1231,American Society for Deaf Children membership,American Society for Deaf Children,-1
1232,"Shriners hospitals for crippled children, burns institute replacement facility",Shriners Hospitals for Crippled Children.,1992
1233,Order of exercises..,Children of the Amer. rev.,1897
1234,Programme,Scottish International Children's Festival (Edinburgh),-1
1235,Integrating psychosocial & mental health care in primary health care system,Save the Children Norway (Nepal),2008
1236,Vol.1,Great Britain. Children's Employment Commission.,1841
1237,Vol.2,Great Britain. Children's Employment Commission.,1841
1238,The Parent's gift,Very particular friend to children,1803
1239,An overview of one agency's casework operation,"Family and Children's Service, Pittsburgh",1958
1240,Daft as a bucket,Centre for the Children's Book.,1998
1241,A syllabus on a curriculum for the retarded child,Pennsylvania Association for Retarded Children.,1955
1242,A guide to establishing an activity program for mentally retarded adults,National Association for Retarded Children,1963
1243,Profiles of Children,White House Conference on Children.,1970
1244,Clinical paediatric surgery,"Royal Children's Hospital (Melbourne, Vic.)",1986
1245,Heroes of the flag,Editor of The Children's Newspaper.,-1
1246,Tails,"Parker, John Children's book author.",1993
1247,Warnock seven years on,National Children's Bureau. Scottish Group.,-1
1248,Constitution and by-laws of the National society of the Children of the American revolution,Children of the American revolution,1896
1249,Children know so many things even we didn't know,Save the Children Fund (Burma),2011
1250,The Child art,All Orissa Children's Painting Exhibition.,1992
1251,Human rights,Detroit. Public Library. Children's Service.,1966
1252,Dietary guidelines,Texas Children's Hospital. Dietary Committee.,1978
1253,Children's hospital aid association cook book,"Children's hospital aid association, Buffalo.",1936
1254,A directory of services for the physically handicapped in the state of Indiana,Indiana society for crippled children.,1944
1255,The reading of children,Reading of Children. Syracuse University,1964
1256,Professional and governmental roles in mental retardation,National Association for Retarded Children.,1964
1257,Opportunities for professional preparation in the field of education of mentally retarded children,National Association for Retarded Children.,1963
1258,Manual of information for members of the armed forces with mentally retarded dependents,National Association for Retarded Children.,1964
1259,Building Bridges,Multilingual Resources for Children Proj,1995
1260,"Children, Health and Crime",NACRO's Committee on Crime Children,2001
1261,The inspection of Children's institutions,National Coalition for Children's Justice.,1977
1262,Readiness activities for mentally retarded children in special classes,Wisconsin. Division for Handicapped Children.,1960
1263,Chipchat,Montana. Children's Health Insurance Plan,2001
1264,Da ḥarfawī zadkaṛo da zadah kawnko lapārah taʻlīmī niṣāb =,Afghanistan's Children a New Approach,2011
1265,District of Columbia minimum wage cases ..,"Children's Hospital (Washington, D.C.)",1920
1266,20 Articles From 20 Years Timeless Selections From The Responsive Classroom Newsletter,Northeast Foundation for Children Inc,2008
1267,The Responsive Classroom Assessment,Northeast Foundation for Children Inc,-1
1268,35 Ways to Help a Grieving Child (Guidebook Series),Dougy Center for Grieving Children,1999
1269,The Masterson case,American Humane Association. Children's Division.,1959
1270,"Children, child abuse and child protection",Violence Against Children Study Group,1999
1271,Right in your own backyard,Time-Life for Children (Firm),1992
1272,Why is the grass green?,Time-Life for Children (Firm),1993
1273,Children in the states,Children's Defense Fund (U.S.),1996
1274,"Thematic evaluation of children's participation in armed conflict, post conflict, and peace building",Save the Children Norway (Nepal),2008
1275,"Billy sure, kid entrepreneur and the no-trouble bubble","Sharpe, Luke (Children's fiction writer)",2016
1276,When death impacts your school,Dougy Center for Grieving Children,2000
1277,Hound bee!,Time-Life for Children (Firm),1991
1278,Tales for a stormy day,Time-Life for Children (Firm),1992
1279,Little people big book about the animal kingdom,Time-Life for Children (Firm),1990
1280,Little people big book about magical worlds,Time-Life for Children (Firm),1990
1281,Prevention of HIV/AIDS among young people in Bangladesh,Save the Children (U.S.),2007
1282,Psychosocial care for children in armed conflict,Save the Children Norway (Nepal),2005
1283,Project Safe,Children and Family Futures (Organization),1999
1284,"A list of the patrons, officers, and governors, of the Freemasons' Charity, for Female Children, situate near the Obelisk, St. George's Fields",Freemasons' Charity for Female Children,1799
1285,Atticus Claw settles a score,"Gray, Jennifer (Children's story writer)",2013
1286,Solve it!,"Farley, Carol (Children's story writer)",2007
1287,Man of Steel,"Rosen, Lucy (Children's story adapter)",2013
1288,Furry towers,"Gray, Jennifer (Children's story writer)",2014
1289,"The Childrens' Companion: Or, Entertaining Instructor for the Youth of Both Sexes; Designed, to ...","Children,
        Arnaud Berquin,
        Berquin (Arnaud)",1792
1290,Little people big book about holidays and celebrations,Time-Life for Children (Firm),1990
1291,Little people big book about things we ride,Time-Life for Children (Firm),1989
1292,How big is the ocean?,Time-Life for Children (Firm),1994
1293,How far can a butterfly fly?,Time-Life for Children (Firm),1994
1294,Do bears give bear hugs?,Time-Life for Children (Firm),1994
1295,El hombre de acero,"Rosen, Lucy (Children's story adapter)",2013
1296,Khela,"Kumāra, Jainendra (Children's story writer)",2014
1297,Glitter beach,"Banks, Rosie (Children's fiction writer)",2015
1298,Cloud Island,"Banks, Rosie (Children's fiction writer)",2014
1299,Mermaid reef,"Banks, Rosie (Children's fiction writer)",2014
1300,Wo shi yi ke shu,"Wang, Yimei (Children's story writer)",2014
1301,Enchanted palace,"Banks, Rosie (Children's fiction writer)",2012
1302,Voyage of the micronauts,Time-Life for Children (Firm),1992
1303,Little people big book about space,Time-Life for Children (Firm),1990
1304,The Three storytellers of Or,Time-Life for Children (Firm),1991
1305,Little people big book about dinosaurs,Time-Life for Children (Firm),1989
1306,The Search for the seven sisters,Time-Life for Children (Firm),1991
1307,Boys don't knit,"Easton, Tom (Children's fiction writer)",2015
1308,Report and statement of receipts and expenditure,"Westminster Children's Hospital (London, England)",1946
1309,Family assesment form,Children's Bureau of Southern California,1997
1310,Dachy's deaf,"Hughes, Jack (Children's book illustrator)",2015
1311,I worship chaos,Children of Bodom (Musical group),2015
1312,Little people big book about families,Time-Life for Children (Firm),1990
1313,Duan er duo de Luoli,"Wang, Yimei (Children's story writer)",2008
1314,Tu zi de hu luo bo,"Wang, Yimei (Children's story writer)",2008
1315,American Babies,The Global Fund for Children,2010
1316,The adventures of Luna the Vampire,"Sheikh, Yasmin (Children's story writer)",2018
1317,Girls can't hit,"Easton, Tom (Children's fiction writer)",2018
1318,Herstory,"Halligan, Katherine (Children's book editor)",2018
1319,Why do balls bounce?,Time-Life for Children (Firm),1995
1320,Fui yo!,"Easton, Tom (Children's fiction writer)",2016
1321,Xiao wu gui Atu,"Wang, Yimei (Children's story writer)",2016
1322,He ma mei shi dian,"Wang, Yimei (Children's story writer)",2016
1323,Wu ya de xin yi,"Wang, Yimei (Children's story writer)",2016
1324,Hu wa san jin sen lin,"Wang, Yimei (Children's story writer)",2016
1325,Shi zi de zuo wei,"Wang, Yimei (Children's story writer)",2016
1326,Mao de zao can,"Wang, Yimei (Children's story writer)",2016
1327,You er duo de can dou,"Wang, Yimei (Children's story writer)",2016
1328,Gei wu ya de fa dan,"Wang, Yimei (Children's story writer)",2015
1329,Yu jian yang,"Wang, Yimei (Children's story writer)",2015
1330,Huang huang zhang zhang de shui mu,"Wang, Yimei (Children's story writer)",2015
1331,100 ceng de ba shi,"Smith, Mike (Children's fiction writer)",2015
1332,The fairiest fairy,"Booth, Anne (Children's fiction writer)",2016
1333,Not as we know it,"Avery, Tom (Children's story writer)",2016
1334,Refuge,"Booth, Anne (Children's fiction writer)",2016
1335,Yong gan mian bao,"Zhang, Daguang (Children's story writer)",2016
1336,Da er duo gu shou,"Wang, Yimei (Children's story writer)",2016
1337,"Billy Sure, kid entrepreneur is not a singer!","Sharpe, Luke (Children's fiction writer)",2016
1338,Santa's Tiniest Elves Meet the Keeper of the Northern Lights,"T Love,
        Sojihuggles Children's Foundation",2019
1339,Where does the sun sleep?,Time-Life for Children (Firm),1993
1340,Minnesota (From Sea to Shining Sea (Paperback)),"Dennis B. Fradin,
        Children's Press",1995
1341,Helping the grieving student,Dougy Center for Grieving Children,1998
1342,An opinion maker's guide to children in election year 1992,Children's Defense Fund (U.S.),1991
1343,Little people big book about nature,Time-Life for Children (Firm),1990
1344,Little people big book about silly things,Time-Life for Children (Firm),1990
1345,Alice in Numberland,Time-Life for Children (Firm),1993
1346,Little people big book about seasons,Time-Life for Children (Firm),1989
1347,On top of spaghetti,Time-Life for Children (Firm),1992
1348,The search for the mystery planet,Time-Life for Children (Firm),1993
1349,Reaching out,American Association for Gifted Children.,1980
1350,"The state of America's children yearbook, 1994",Children's Defense Fund (U.S.),1994
1351,Supermarket sweep!,"Jones, Pip (Children's story writer)",2014
1352,Did triceratops have polka dots?,Time-Life for Children (Firm),1995
1353,Ayudar al lorito Polly,"Easton, Tom (Children's fiction writer)",2016
1354,My first things that go,"Lloyd, Clare (Children's book author)",2016
1355,Magic seal,"Banks, Rosie (Children's fiction writer)",2014
1356,Little people big book about faraway places,Time-Life for Children (Firm),1990
1357,Do buildings have bones?,Time-Life for Children (Firm),1995
1358,Wasting America's future,Children's Defense Fund (U.S.),1994
1359,Little people big book about ourselves,Time-Life for Children (Firm),1989
1360,Yum-m-m!,"Natchez Children's Home (Natchez, Miss.)",2004
1361,Children of alcoholics in the medical system,Children of Alcoholics (U.S.),1990
1362,My first book of animal babies,"Smith, Miranda (Children's nonfiction author)",2013
1363,Children! Children!,Jack Horrigan,1970
1364,Children Children,Dorlis Glass,1986
1365,Children's children,Gertrude Bone,1908
1366,Children. Children,Pat Persaud,1985
1367,Julius Caesar,William Shakespeare,1684
1368,Gulliver's Travels,"Jonathan Swift,
        Ronald Storer,
        Hans Helweg",1726
1369,Wuthering Heights,Emily Brontë,1847
1370,The Canterbury Tales,"Geoffrey Chaucer,
        John E. Cunningham",1478
1371,Children's services plan 1999-2002,Western Area Children and Young People's Committee.,1998
1372,A Children's Defense Budget,"Children's Defense Fund,
        Marian Wright Edelman",1983
1373,Midnight's Children,Salman Rushdie,1981
1374,Othello,William Shakespeare,1622
1375,La isla del tesoro,Robert Louis Stevenson,1883
1376,The railway children,Edith Nesbit,1906
1377,Someone that matters,Save the Children Fund (Great Britain),2007
1378,"Our White House : looking in, looking out",National Children's Book and Literacy Alliance,2008
1379,Beyond rhetoric,United States. National Commission on Children.,1991
1380,The child's instructor,Teacher of little children in Philadelphia.,1809
1381,Autism,National Society for Autistic Children (U.S.),1973
1382,Children's allowances and the economic welfare of children,"Children's Allowances Conference Warrenton, Va. 1967.",1968
1383,Manual of pediatric nursing careplans,Hospital for Sick Children. Dept. of Nursing.,1979
1384,Annual report and list of subscribers,Jenny Lind Hospital for Children. no2006008734,1884
1385,Crisis in child mental health,Joint Commission on Mental Health of Children.,1970
1386,Pooh and Some Bees,"Dutton Children's Books,
        A. A. Milne",1996
1387,The Adventures of Tom Sawyer,Mark Twain,1876
1388,Children Are Children Are Children,Ann Cole,1978
1389,Rules governing programs and services for children with special needs,North Carolina. Division for Exceptional Children.,1976
1390,Raising Children to Become Caring Contributors to the World,"Shakti for Children,
        Kelly Swanson Turner",1997
1391,Children's services plan [2002-2005],Western Area Children and Young People's Committee.,2002
1392,State of the nation's children,Ireland. Office of the Minister for Children.,2006
1393,The Abortion threat to Northern Ireland intensified,Society for the Protection of Unborn Children.,1987
1394,The Afro-American in books for children,District of Columbia. Public Library. Children's Service.,1974
1395,Missing and exploited children,Advisory Board on Missing Children (U.S.),1988
1396,Play ground safety guidelines,National Children's Play and Recreation Unit.,1992
1397,The child's reading book,Friend to the education of children.,1799
1398,The needsof young children in care,Great Britain. Home Office. Children's Department.,1964
1399,Health Statistics,Ireland. Department of Health and Children.,1999
1400,National Symposium on Children in Jail,National Symposium on Children in Jail.,1981
1401,Standards and objectives for school libraries,Library Association of Australia. Children's Libraries Section.,1966
1402,"The Osborne Collection of early children's books, 1566-1910",Osborne Collection of Early Children's Books.,1958
1403,School suspensions--are they helping children?,Washington Research Project. Children's Defense Fund.,1975
1404,Guidelines for Elementary School Physical Education,Council on P E for Children,1988
1405,From chaos to order,American Association for Children's Residential Centers.,1971
1406,Children with special needs,"Maureen Harmonay,
        Action for Children's Television",1977
1407,Gifted children,World Conference on Gifted Children London 1975.,1976
1408,Charting child health services,"Peter Elfer,
        Sheila Gatiss,
        National Children's Bureau.",1990
1409,Books Remembered,N. Y.) Children's Book Council (New York,1997
1410,Fair start,"Derek Rodger,
        Argyll Publishing,
        Save the Children",1994
1411,The G.O.S.H. ABC book,"Hospital for Sick Children (London, England)",1988
1412,Do you see shapes?,"Children's Press (New York, N.Y.)",2010
1413,Making learning visible,"Carlina Rinaldi,
        Project Zero,
        Reggio Children",2001
1414,Approaches to Learning,Association for Children With Learning Disabilities.,1980
1415,A guide to writing of children's books,Writers' Workshop on Children's Books (1979 Singapore),1981
1416,The Osborne Collection of early children's books,Osborne Collection of Early Children's Books,1958
1417,Unattended children in the public library,Association for Library Service to Children,1999
1418,Intellectual freedom for children,Association for Library Service to Children,2000
